tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt10003008	movie	The Rental	The Rental	0	2020.0	\N	88	Drama,Horror,Mystery	5.7	34696
tt1000774	movie	Sex and the City	Sex and the City	0	2008.0	\N	145	Comedy,Drama,Romance	5.7	124063
tt1001508	movie	He's Just Not That Into You	He's Just Not That Into You	0	2009.0	\N	129	Comedy,Drama,Romance	6.4	177179
tt1001526	movie	Megamind	Megamind	0	2010.0	\N	95	Action,Animation,Comedy	7.3	273978
tt10016180	movie	The Little Things	The Little Things	0	2021.0	\N	128	Crime,Drama,Mystery	6.3	110451
tt10028196	movie	Laal Singh Chaddha	Laal Singh Chaddha	0	2022.0	\N	159	Comedy,Drama,Romance	5.5	175287
tt10039344	movie	Countdown	Countdown	0	2019.0	\N	90	Horror,Thriller	5.4	41152
tt10059518	movie	Unhinged	Unhinged	0	2020.0	\N	90	Action,Thriller	6.0	71603
tt10060094	movie	The Knight Before Christmas	The Knight Before Christmas	0	2019.0	\N	92	Adventure,Comedy,Drama	5.6	19168
tt10062556	movie	Bhuj: The Pride of India	Bhuj: The Pride of India	0	2021.0	\N	113	Action,Drama,History	4.2	24688
tt10065694	movie	Antebellum	Antebellum	0	2020.0	\N	105	Drama,Horror,Mystery	5.8	28300
tt1007028	movie	Zack and Miri Make a Porno	Zack and Miri Make a Porno	0	2008.0	\N	101	Comedy,Romance	6.5	179726
tt1007029	movie	The Iron Lady	The Iron Lady	0	2011.0	\N	105	Biography,Drama	6.4	111251
tt10083340	movie	Gangubai Kathiawadi	Gangubai Kathiawadi	0	2022.0	\N	152	Biography,Crime,Drama	7.8	57699
tt10083640	movie	Bhoot Police	Bhoot Police	0	2021.0	\N	129	Comedy,Horror	6.9	26946
tt10095582	movie	The Tragedy of Macbeth	The Tragedy of Macbeth	0	2021.0	\N	105	Drama,Mystery,Thriller	7.1	36331
tt10098288	movie	Roohi	Roohi	0	2021.0	\N	134	Comedy,Horror	4.3	10510
tt1010048	movie	Slumdog Millionaire	Slumdog Millionaire	0	2008.0	\N	120	Crime,Drama,Romance	8.0	856782
tt1010271	movie	The Poughkeepsie Tapes	The Poughkeepsie Tapes	0	2007.0	\N	81	Horror,Mystery,Thriller	6.0	21532
tt10121392	movie	Thunder Force	Thunder Force	0	2021.0	\N	106	Action,Adventure,Comedy	4.5	43508
tt1012804	movie	Redbelt	Redbelt	0	2008.0	\N	99	Drama,Sport	6.7	21266
tt1013743	movie	Knight and Day	Knight and Day	0	2010.0	\N	109	Action,Adventure,Comedy	6.3	201497
tt1013752	movie	Fast & Furious	Fast & Furious	0	2009.0	\N	107	Action,Crime,Thriller	6.5	294353
tt1013753	movie	Milk	Milk	0	2008.0	\N	128	Biography,Drama,History	7.5	175872
tt1013860	movie	Dylan Dog: Dead of Night	Dylan Dog: Dead of Night	0	2010.0	\N	108	Action,Comedy,Crime	5.1	15337
tt1014672	movie	Bheja Fry	Bheja Fry	0	2007.0	\N	95	Comedy,Drama	7.6	12020
tt1014759	movie	Alice in Wonderland	Alice in Wonderland	0	2010.0	\N	108	Adventure,Family,Fantasy	6.4	423869
tt1014762	movie	Home	Home	0	2009.0	\N	118	Documentary	8.5	22715
tt1014763	movie	Child 44	Child 44	0	2015.0	\N	137	Crime,Drama,History	6.4	72830
tt1014775	movie	Beverly Hills Chihuahua	Beverly Hills Chihuahua	0	2008.0	\N	91	Adventure,Comedy,Drama	3.9	25040
tt10151854	movie	Shazam! Fury of the Gods	Shazam! Fury of the Gods	0	2023.0	\N	130	Action,Adventure,Comedy	6.1	56238
tt10152736	movie	Thalaivi	Thalaivi	0	2021.0	\N	153	Biography,Drama	5.9	30996
tt10155932	movie	Cinderella	Cinderella	0	2021.0	\N	113	Comedy,Family,Fantasy	4.3	43336
tt1016075	movie	Fame	Fame	0	2009.0	\N	107	Drama,Musical,Romance	5.0	16651
tt1016150	movie	All Quiet on the Western Front	Im Westen nichts Neues	0	2022.0	\N	148	Action,Drama,War	7.8	197695
tt10161886	movie	The Prom	The Prom	0	2020.0	\N	130	Comedy,Drama,Musical	5.9	28100
tt1016268	movie	Enron: The Smartest Guys in the Room	Enron: The Smartest Guys in the Room	0	2005.0	\N	110	Biography,Documentary,History	7.6	19422
tt1016301	movie	Fermat's Room	La habitación de Fermat	0	2007.0	\N	89	Mystery,Thriller	6.6	22059
tt10168670	movie	Bones and All	Bones and All	0	2022.0	\N	131	Drama,Horror,Romance	6.8	39448
tt1017451	movie	The Runaways	The Runaways	0	2010.0	\N	106	Biography,Drama,Music	6.5	49959
tt1017456	movie	Race	Race	0	2008.0	\N	149	Action,Crime,Drama	6.6	15333
tt1017460	movie	Splice	Splice	0	2009.0	\N	104	Horror,Sci-Fi	5.8	99384
tt10183816	movie	Dangerous Lies	Dangerous Lies	0	2020.0	\N	96	Thriller	5.3	17826
tt10187208	movie	A Boy Called Christmas	A Boy Called Christmas	0	2021.0	\N	106	Adventure,Drama,Family	6.7	24381
tt1018765	movie	Our Brand Is Crisis	Our Brand Is Crisis	0	2015.0	\N	107	Comedy,Drama	6.1	22800
tt1018785	movie	The Sisterhood of the Traveling Pants 2	The Sisterhood of the Traveling Pants 2	0	2008.0	\N	119	Comedy,Drama,Romance	6.2	29946
tt1018818	movie	Assassination of a High School President	Assassination of a High School President	0	2008.0	\N	93	Comedy,Crime,Mystery	6.2	16125
tt10189514	movie	Soorarai Pottru	Soorarai Pottru	0	2020.0	\N	153	Action,Drama	8.7	119122
tt10192406	movie	Causeway	Causeway	0	2022.0	\N	94	Drama	6.6	17983
tt1019452	movie	A Serious Man	A Serious Man	0	2009.0	\N	106	Comedy,Drama	7.0	145575
tt10199590	movie	Les Misérables	Les misérables	0	2019.0	\N	104	Crime,Drama,Thriller	7.6	26242
tt10199640	movie	Beanpole	Dylda	0	2019.0	\N	130	Drama,War	7.2	11656
tt10199914	movie	The Boys in the Band	The Boys in the Band	0	2020.0	\N	121	Drama	6.8	16643
tt1020072	movie	Selma	Selma	0	2014.0	\N	128	Biography,Drama,History	7.5	93064
tt1020530	movie	Eden Lake	Eden Lake	0	2008.0	\N	91	Horror,Thriller	6.7	88579
tt1020558	movie	Centurion	Centurion	0	2010.0	\N	97	Action,Drama,History	6.3	84270
tt1020773	movie	Certified Copy	Copie conforme	0	2010.0	\N	106	Drama,Romance	7.2	25508
tt10208198	movie	The Gangster, the Cop, the Devil	Akinjeon	0	2019.0	\N	109	Action,Crime,Thriller	6.9	17280
tt1020885	movie	Vampire Killers	Lesbian Vampire Killers	0	2009.0	\N	86	Action,Comedy,Fantasy	5.1	20463
tt10214826	movie	Agent Sai Srinivasa Athreya	Agent Sai Srinivasa Athreya	0	2019.0	\N	148	Comedy,Crime,Mystery	8.3	14963
tt10223460	movie	Marry Me	Marry Me	0	2022.0	\N	112	Comedy,Music,Romance	6.1	35264
tt1022603	movie	500 Days of Summer	(500) Days of Summer	0	2009.0	\N	95	Comedy,Drama,Romance	7.7	528260
tt10228134	movie	Jolt	Jolt	0	2021.0	\N	91	Action,Comedy,Crime	5.6	32998
tt10229558	movie	The Dark and the Wicked	The Dark and the Wicked	0	2020.0	\N	95	Horror	6.1	18963
tt10230426	movie	Mrs. Serial Killer	Mrs. Serial Killer	0	2020.0	\N	106	Crime,Drama,Thriller	4.1	18908
tt10230994	movie	Beckett	Beckett	0	2021.0	\N	110	Action,Crime,Drama	5.7	27103
tt1023111	movie	Never Back Down	Never Back Down	0	2008.0	\N	113	Action,Drama,Sport	6.5	103562
tt1023114	movie	The Way Back	The Way Back	0	2010.0	\N	133	Adventure,Drama,History	7.3	118899
tt1023481	movie	Step Up 2: The Streets	Step Up 2: The Streets	0	2008.0	\N	98	Drama,Music,Romance	6.2	89037
tt1023490	movie	Il Divo	Il divo	0	2008.0	\N	110	Biography,Drama	7.2	18462
tt1023500	movie	Doghouse	Doghouse	0	2009.0	\N	89	Comedy,Horror,Sci-Fi	6.0	22468
tt10242388	movie	Last Seen Alive	Last Seen Alive	0	2022.0	\N	95	Action,Mystery,Thriller	5.6	24657
tt1024255	movie	Wild Child	Wild Child	0	2008.0	\N	98	Comedy	6.1	60107
tt1024648	movie	Argo	Argo	0	2012.0	\N	120	Biography,Drama,Thriller	7.7	623130
tt1024715	movie	Choke	Choke	0	2008.0	\N	92	Comedy,Drama	6.4	33011
tt1024943	movie	Om Shanti Om	Om Shanti Om	0	2007.0	\N	162	Action,Comedy,Drama	6.7	45974
tt1025100	movie	Gemini Man	Gemini Man	0	2019.0	\N	117	Action,Sci-Fi,Thriller	5.7	116326
tt10262648	movie	Compartment Number 6	Hytti nro 6	0	2021.0	\N	107	Drama,Romance	7.2	12958
tt10265034	movie	Land	Land	0	2021.0	\N	89	Adventure,Drama	6.6	12504
tt10268488	movie	The Greatest Beer Run Ever	The Greatest Beer Run Ever	0	2022.0	\N	126	Adventure,Drama,War	6.8	21407
tt10272386	movie	The Father	The Father	0	2020.0	\N	97	Drama,Mystery	8.2	165470
tt10276470	movie	Work It	Work It	0	2020.0	\N	93	Comedy,Music	6.1	14405
tt1027718	movie	Wall Street: Money Never Sleeps	Wall Street: Money Never Sleeps	0	2010.0	\N	133	Drama	6.2	104423
tt1027862	movie	Swing Vote	Swing Vote	0	2008.0	\N	120	Comedy,Drama	6.1	19060
tt10280276	movie	Coolie No. 1	Coolie No. 1	0	2020.0	\N	134	Action,Comedy,Romance	4.2	73814
tt10280296	movie	Sardar Udham	Sardar Udham	0	2021.0	\N	164	Biography,Crime,Drama	8.4	43827
tt1028528	movie	Death Proof	Death Proof	0	2007.0	\N	127	Action,Thriller	7.0	299429
tt1028532	movie	Hachi: A Dog's Tale	Hachi: A Dog's Tale	0	2009.0	\N	93	Biography,Drama,Family	8.1	293357
tt1028576	movie	Secretariat	Secretariat	0	2010.0	\N	123	Biography,Drama,Family	7.2	29365
tt10287954	movie	Rose Island	L'incredibile storia dell'Isola delle Rose	0	2020.0	\N	117	Adventure,Comedy,Drama	7.0	22651
tt10288566	movie	Another Round	Druk	0	2020.0	\N	117	Comedy,Drama	7.7	171367
tt1029120	movie	Henry Poole Is Here	Henry Poole Is Here	0	2008.0	\N	99	Comedy,Drama	6.4	12855
tt1029231	movie	Krrish 3	Krrish 3	0	2013.0	\N	152	Action,Adventure,Sci-Fi	5.3	24044
tt1029234	movie	Martyrs	Martyrs	0	2008.0	\N	99	Horror	7.0	98937
tt1029235	movie	Max Manus: Man of War	Max Manus	0	2008.0	\N	118	Action,Biography,Crime	7.3	28854
tt10293406	movie	The Power of the Dog	The Power of the Dog	0	2021.0	\N	126	Drama,Romance,Western	6.8	181538
tt1029360	movie	Poltergeist	Poltergeist	0	2015.0	\N	93	Horror,Thriller	4.9	59422
tt10295212	movie	Shershaah	Shershaah	0	2021.0	\N	135	Action,Biography,Drama	8.3	124208
tt10298810	movie	Lightyear	Lightyear	0	2022.0	\N	105	Action,Adventure,Animation	6.1	112420
tt10298840	movie	Strange World	Strange World	0	2022.0	\N	102	Action,Adventure,Animation	5.6	38622
tt10303324	movie	Survive the Night	Survive the Night	0	2020.0	\N	90	Action,Drama,Thriller	4.0	11596
tt10304142	movie	Amsterdam	Amsterdam	0	2022.0	\N	134	Comedy,Drama,History	6.1	74699
tt10308928	movie	Force of Nature	Force of Nature	0	2020.0	\N	91	Action,Crime,Drama	4.6	12124
tt10309902	movie	Chehre	Chehre	0	2021.0	\N	139	Drama,Mystery,Thriller	6.2	27618
tt10310140	movie	Fatman	Fatman	0	2020.0	\N	100	Action,Adventure,Comedy	5.9	27640
